,Community.Area,Grocery.Count,Life.Expectancy,Crime.Count,Housing.Units,Hardship.Index,Grocery,Expectancy,crime,housing,hardship,Class 1,Class 2,Class 3,Class 4,Class 5
1,1,13,77.3,3542,517,39,4,2,3,4,2,,YES,,,
2,2,18,80.3,3069,307,46,4,4,2,3,2,,YES,,,
3,3,15,76,3611,940,20,4,2,3,4,1,,YES,,,
4,4,4,80.5,1758,0,17,2,4,2,1,1,,YES,,,
5,5,6,81.5,1385,60,6,2,4,2,2,1,,YES,,,
6,6,9,81.9,5537,285,5,3,4,4,3,1,,YES,,,
7,7,11,81.3,3737,0,2,4,4,3,1,1,Yes,,,,
8,8,17,85.2,8983,696,1,4,4,4,4,1,Yes,,,,
9,9,1,81,254,0,8,1,4,1,1,1,,YES,,,
10,10,4,80.9,1265,0,21,2,4,1,1,1,,YES,,,
11,11,3,79.7,1147,73,25,1,3,1,2,1,,YES,,,
12,12,2,83.4,445,0,11,1,4,1,1,1,,YES,,,
13,13,2,84.4,835,317,33,1,4,1,3,2,,YES,,,
14,14,12,80.6,2514,233,53,4,4,2,2,3,,,YES,,
15,15,10,80.3,3412,0,35,3,4,3,1,2,,YES,,,
16,16,7,79.6,2990,0,34,3,3,2,1,2,,YES,,,
17,17,9,79.8,1645,129,28,3,3,2,2,2,,YES,,,
18,18,1,79.6,580,10,50,1,3,1,2,2,,YES,,,
19,19,22,79.5,4795,191,70,4,3,3,2,3,,,YES,,
20,20,7,80.5,1714,0,71,3,4,2,1,3,,,YES,,
21,21,6,79.8,2242,0,42,2,3,2,1,2,,YES,,,
22,22,15,80.3,4755,312,23,4,4,3,3,1,Yes,,,,
23,23,16,74.5,8061,667,85,4,1,4,4,4,,,,YES,
24,24,14,79.5,7005,403,10,4,3,4,4,1,,YES,,,
25,25,14,71.9,17142,604,73,4,1,4,4,3,,,,YES,
26,26,7,68.8,5864,0,92,3,1,4,1,4,,,,YES,
27,27,3,71.7,5327,949,83,1,1,4,4,4,,,,,YES
28,28,9,78.9,7867,1091,15,3,3,4,4,1,,YES,,,
29,29,4,72.1,8139,839,87,2,1,4,4,4,,,,,YES
30,30,22,82.2,4419,29,96,4,4,3,2,4,,,,YES,
31,31,11,81.4,2502,270,76,4,4,2,3,4,,,,YES,
32,32,4,85,7544,16,3,2,4,4,2,1,,YES,,,
33,33,2,80.6,1858,1147,7,1,4,2,4,1,,YES,,,
34,34,4,81.9,1067,0,82,2,4,1,1,4,,,,YES,
35,35,2,74.1,2502,776,47,1,1,2,4,2,,YES,,,
36,36,0,73.6,626,819,78,1,1,1,4,4,,,,,YES
37,37,1,69.8,837,100,97,1,1,1,2,4,,,,,YES
38,38,4,74.1,3099,1330,57,2,1,2,4,3,,,YES,,
39,39,4,80.5,1353,120,26,2,4,2,2,2,,YES,,,
40,40,3,68.9,2739,630,88,1,1,2,4,4,,,,,YES
41,41,3,82.3,1505,36,14,1,4,2,2,1,,YES,,,
42,42,5,74.5,3694,569,58,2,1,3,4,3,,,YES,,
43,43,7,72.5,8975,244,55,3,1,4,2,3,,,,YES,
44,44,6,74,5982,162,60,2,1,4,2,3,,,,YES,
45,45,3,74.7,1370,102,41,1,1,2,2,2,,YES,,,
46,46,5,72.7,5039,307,75,2,1,4,3,3,,,,YES,
47,47,0,71.9,384,0,79,1,1,1,1,4,,,,,YES
48,48,2,77.1,1465,0,38,1,2,2,1,2,,YES,,,
49,49,7,72.9,6585,346,52,3,1,4,3,3,,,,YES,
50,50,2,76.4,1041,270,51,1,2,1,3,3,,,YES,,
51,51,4,76.2,1913,0,65,2,2,2,1,3,,,YES,,
52,52,3,78.4,1313,0,64,1,3,1,1,3,,,YES,,
53,53,5,71.6,3974,132,62,2,1,3,2,3,,,,YES,
54,54,2,76.4,1179,75,98,1,2,1,2,4,,,,YES,
55,55,3,77.1,508,116,44,1,2,1,2,2,,YES,,,
56,56,4,79.8,1818,87,32,2,3,2,2,2,,YES,,,
57,57,4,79.5,988,0,67,2,3,1,1,3,,,,YES,
58,58,10,80.8,2729,0,84,3,4,2,1,4,,,,YES,
59,59,4,80.4,1072,0,61,2,4,1,1,3,,,,YES,
60,60,2,80.2,1599,85,43,1,4,2,2,2,,YES,,,
61,61,17,74.4,4876,326,91,4,1,3,3,4,,,,YES,
62,62,3,81,1034,0,69,1,4,1,1,3,,,,YES,
63,63,5,79.2,2351,59,93,2,3,2,2,4,,,,YES,
64,64,1,77.5,930,0,29,1,2,1,1,2,,YES,,,
65,65,4,80.5,2034,89,56,2,4,2,2,3,,,YES,,
66,66,12,75.2,6139,341,80,4,2,4,3,4,,,,YES,
67,67,11,70.1,7320,84,89,4,1,4,2,4,,,,YES,
68,68,8,70.7,7092,650,94,3,1,4,4,4,,,,YES,
69,69,7,71.1,6703,56,66,3,1,4,2,3,,,,YES,
70,70,3,78.2,2294,85,37,1,3,2,2,2,,YES,,,
71,71,11,72.6,7786,352,74,4,1,4,4,3,,,,YES,
72,72,1,80.5,983,0,12,1,4,1,1,1,YES,,,,
73,73,2,74.9,3129,142,48,1,1,2,2,2,,YES,,,
74,74,3,79.6,610,0,16,1,3,1,1,1,,YES,,,
75,75,7,75.3,2060,0,30,3,2,2,1,2,,YES,,,
76,76,1,82.2,1659,0,24,1,4,2,1,1,,YES,,,
77,77,11,79.8,2228,504,19,4,3,2,4,1,,YES,,,
